transaction_id,date,part_number,transaction_type,qty
1,2024-01-01,P0073,issue,6
2,2024-01-01,P0037,issue,2
3,2024-01-01,P0136,issue,3
4,2024-01-01,P0431,issue,4
5,2024-01-01,P0420,receipt,100
6,2024-01-01,P0392,issue,4
7,2024-01-01,P0313,issue,5
8,2024-01-01,P0060,issue,2
9,2024-01-01,P0421,issue,6
10,2024-01-01,P0455,issue,4
11,2024-01-01,P0175,issue,2
12,2024-01-01,P0119,issue,2
13,2024-01-01,P0039,issue,7
14,2024-01-01,P0158,receipt,154
15,2024-01-01,P0026,issue,2
16,2024-01-01,P0178,issue,1
17,2024-01-01,P0198,issue,1
18,2024-01-01,P0427,receipt,137
19,2024-01-01,P0420,receipt,116
20,2024-01-01,P0070,issue,3
21,2024-01-02,P0272,issue,1
22,2024-01-02,P0317,receipt,143
23,2024-01-02,P0351,issue,3
24,2024-01-02,P0268,issue,2
25,2024-01-02,P0351,issue,7
26,2024-01-02,P0097,issue,7
27,2024-01-02,P0476,issue,6
28,2024-01-02,P0298,issue,5
29,2024-01-02,P0214,issue,7
30,2024-01-02,P0042,receipt,194
31,2024-01-02,P0051,issue,3
32,2024-01-02,P0258,issue,7
33,2024-01-02,P0034,issue,1
34,2024-01-02,P0388,receipt,224
35,2024-01-02,P0305,issue,3
36,2024-01-02,P0002,receipt,83
37,2024-01-02,P0279,issue,7
38,2024-01-02,P0108,issue,3
39,2024-01-03,P0369,issue,4
40,2024-01-03,P0041,issue,5
41,2024-01-03,P0127,receipt,172
42,2024-01-03,P0243,issue,2
43,2024-01-03,P0300,receipt,95
44,2024-01-03,P0203,issue,7
45,2024-01-03,P0369,receipt,243
46,2024-01-03,P0420,issue,2
47,2024-01-03,P0238,issue,1
48,2024-01-03,P0422,issue,6
49,2024-01-03,P0481,receipt,155
50,2024-01-03,P0169,receipt,190
51,2024-01-03,P0040,issue,3
52,2024-01-03,P0292,receipt,239
53,2024-01-03,P0292,receipt,102
54,2024-01-03,P0441,issue,1
55,2024-01-03,P0219,issue,4
56,2024-01-03,P0354,receipt,108
57,2024-01-03,P0309,receipt,110
58,2024-01-03,P0074,receipt,179
59,2024-01-03,P0265,issue,7
60,2024-01-03,P0113,issue,5
61,2024-01-04,P0335,issue,5
62,2024-01-04,P0284,issue,2
63,2024-01-04,P0460,receipt,135
64,2024-01-04,P0103,issue,1
65,2024-01-04,P0091,issue,5
66,2024-01-04,P0187,issue,3
67,2024-01-04,P0002,receipt,85
68,2024-01-04,P0316,issue,2
69,2024-01-04,P0252,issue,4
70,2024-01-04,P0149,issue,6
71,2024-01-04,P0321,receipt,121
72,2024-01-04,P0251,issue,2
